id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
1,layering,Service Layer + Repository,Separate transport business logic and persistence concerns,Most backend services and coding-agent implementations,Can become ceremony for very small scripts,Controller validates and maps service owns business rules repository owns queries,service layer repository controller clean architecture,Clean Architecture
2,transactions,ACID transaction boundary,Group related writes so they succeed or fail atomically,Multi-table writes payments inventory bookings account changes,Long transactions can lock rows and reduce throughput,Start transaction in service layer keep it short and use retries for serialization conflicts,transaction acid multi table write consistency,PostgreSQL Transactions
3,queries,N+1 prevention,Batch or join related data instead of querying inside loops,List endpoints GraphQL resolvers dashboards and exports,Overfetching can happen if joins are too broad,Use eager loading batched IN queries DataLoader or precomputed read models,n+1 query dataloader eager loading loop,GraphQL DataLoader
4,indexing,Query-driven indexing,Create indexes from actual filter sort and join patterns,Endpoints with latency targets and growing tables,Indexes speed reads but slow writes and consume storage,Use composite indexes matching where/order clauses and inspect query plans,index composite query plan postgres mysql,Use The Index Luke
5,tenancy,Tenant isolation with scoped access,Multi-tenant SaaS with shared application infrastructure,Shared schema is cheaper but raises isolation risk,Apply tenant_id at repository boundary and enforce RLS where supported,multi tenant tenant_id row level security saas,PostgreSQL RLS
6,consistency,Optimistic concurrency control,Detect conflicting writes through version columns or timestamps,Collaborative editing inventory booking and account updates,Conflicts need user or retry handling,Include version in update predicate and return conflict on mismatch,optimistic locking version concurrent update,JPA Optimistic Locking
7,architecture,CQRS read model,Separate write model from optimized read projections,Complex dashboards search-heavy systems and event-driven domains,Adds projection lag and operational complexity,Use only where read/write needs diverge materially,cqrs read model projection dashboard,Martin Fowler CQRS
8,scale,Partitioning and sharding,Split data by range hash or tenant for scale or isolation,Very large tables high write throughput tenant-level scaling,Operational complexity migrations and cross-shard queries,Prefer partitioning before sharding and define shard key from access patterns,sharding partitioning scale tenant high throughput,PostgreSQL Partitioning
9,constraints,Database constraints as invariants,Enforce uniqueness foreign keys and check constraints in the database,Critical data integrity such as orders payments ledgers and tenant ownership,Requires planned migrations and error mapping,Use constraints as final guard after application validation,unique constraint foreign key check invariant integrity,PostgreSQL Constraints
10,migrations,Backward-compatible migrations,Deploy schema changes without downtime,Production services with rolling deploys and active traffic,Requires expand migrate contract sequencing,Add nullable columns backfill dual-write then enforce and remove old fields,migration zero downtime expand contract,Strong Migrations
11,locking,Pessimistic row locking,Lock selected rows for critical concurrent updates,Inventory booking wallet balance and single resource scheduling,Can reduce throughput and deadlock if overused,Use select for update in short transactions with stable lock ordering,row lock select for update inventory booking,PostgreSQL Explicit Locking
12,read-replica,Read replica routing,Send safe read traffic to replicas to reduce primary load,Read-heavy applications dashboards and reports,Replica lag can return stale data,Keep read-your-write flows on primary and expose lag metrics,read replica lag primary dashboard report,PostgreSQL Replication
13,soft-delete,Soft delete with lifecycle policy,Mark records deleted instead of immediate physical deletion,User data recovery audit requirements and compliance workflows,Can complicate uniqueness and query filters,Add deleted_at filters partial indexes and purge policy,soft delete deleted_at audit recovery,PostgreSQL Partial Index
14,ledger,Append-only ledger,Represent money or points as immutable debit credit entries,Payments wallets credits subscriptions and accounting,Queries require aggregation or snapshots,Never update balances alone derive from entries and reconcile,ledger append only balance payment accounting,Stripe Ledger Patterns
15,search,Search index projection,Project searchable data into Elasticsearch OpenSearch or Meilisearch,Full-text search faceting and typo tolerance,Index can lag source of truth,Use database as source of truth and rebuildable projections,search index elasticsearch opensearch projection,Elasticsearch
16,backup,Restore-tested backups,Backups are validated by regular restore drills,Any production data store,Restore tests consume time and storage,Automate restore verification and document RPO RTO,backup restore rpo rto database disaster recovery,PostgreSQL Backup
17,modeling,Aggregate boundary,Group data changes around domain aggregates,Domain-driven systems orders accounts inventory and booking,Wrong boundaries cause large transactions or weak invariants,Define aggregate root and enforce invariants in service layer,aggregate boundary ddd transaction,Domain Driven Design
18,modeling,Reference data table,Store stable controlled values as data not enums in code,Configurable product categories countries plans and statuses,Overuse creates joins for simple constants,Use when values change without deploy or need metadata,reference data lookup table status,Database Design
19,modeling,Temporal table,Track historical state over time,Audit history pricing policies and compliance records,Queries become more complex,Use valid_from valid_to or database temporal features,temporal history audit valid_from,SQL Server Temporal
20,modeling,Immutable event table,Store facts as append-only events,Audit trails event sourcing and integrations,Requires projections for current state,Append only with event type aggregate id version and metadata,event table append only event sourcing,Event Sourcing
21,query,Keyset pagination index,Support cursor pagination with stable index,List endpoints over large tables,Requires deterministic ordering,Index order columns plus primary key tie breaker,keyset pagination index cursor,Use The Index Luke
22,query,Covering index,Serve query from index without table lookup,High-traffic read endpoints and narrow projections,More storage and slower writes,Include selected columns only when query is hot,covering index include query performance,PostgreSQL Indexes
23,query,Partial index,Index a filtered subset of rows,Soft deletes active records and status filtered queries,Only helps queries matching predicate,Create partial indexes for common predicates like deleted_at is null,partial index soft delete active,PostgreSQL Partial Index
24,query,Materialized view,Precompute expensive read queries,Dashboards reporting and expensive aggregations,Refresh lag and storage overhead,Refresh on schedule or event and expose freshness,materialized view dashboard aggregate,PostgreSQL Materialized View
25,consistency,Unique idempotency table,Store idempotency keys with request hash and result,Payment checkout import and webhook writes,Requires retention cleanup,Use unique key per actor operation and replay stored response,idempotency table unique request hash,Stripe Idempotency
26,consistency,Advisory lock,Coordinate application-level critical section in database,Rare scheduled jobs and per-resource mutual exclusion,Can deadlock or leak if misused,Use transaction-scoped advisory locks and timeout,advisory lock postgres job concurrency,PostgreSQL Advisory Locks
27,consistency,Serializable transaction retry,Guarantee correctness under high concurrency,Financial ledgers inventory and booking conflicts,Retries can increase latency,Use serializable isolation with bounded retry loop,serializable isolation retry transaction,PostgreSQL Isolation
28,scale,Connection pool sizing,Prevent database overload and request queue collapse,Every production service using relational databases,Too many connections hurt database performance,Size pools per instance and total cluster capacity,connection pool database sizing,PostgreSQL Wiki
29,scale,Connection proxy,Share database connections across serverless or many app instances,Serverless high instance counts and bursty workloads,Adds network hop and proxy dependency,Use PgBouncer or managed proxy with transaction pooling,pgbouncer connection proxy serverless, PgBouncer
30,scale,Hot partition avoidance,Prevent one key from receiving most reads or writes,Multi-tenant SaaS queues counters and time-series tables,Requires key design and sometimes bucketing,Shard hot tenants or bucket high-write keys,hot partition tenant shard bucket,DynamoDB Design
31,analytics,OLTP OLAP separation,Keep transactional and analytical workloads separate,Apps with reports BI and large scans,Data pipelines introduce lag,Replicate to warehouse or read replica for analytics,oltp olap warehouse report,Data Warehouse Toolkit
32,analytics,CDC replication,Stream database changes to downstream systems,Search indexing analytics cache invalidation and integrations,Schema changes and ordering need care,Use CDC connector and schema evolution policy,cdc change data capture debezium,Debezium
33,privacy,PII classification columns,Mark and control sensitive fields in schema,Regulated domains and privacy programs,Requires process and tooling,Document sensitivity retention encryption and logging policy per field,pii classification schema privacy,GDPR
34,privacy,Data retention purge job,Delete or anonymize data according to retention policy,Compliance privacy and storage control,Deletion can break audits if not modeled,Define retention per table and run auditable purge jobs,data retention purge gdpr privacy,GDPR
35,operations,Online backfill,Backfill large tables without locking production,Schema migrations derived columns and denormalization,Backfill can compete with live workload,Process in chunks with checkpoints throttling and resume,backfill migration chunk online,Strong Migrations
36,operations,Migration lock timeout,Fail migrations instead of blocking production traffic,Production relational schema changes,Requires retry and migration review,Set lock timeout statement timeout and avoid long table rewrites,migration lock timeout ddl,PostgreSQL DDL
37,integrity,Foreign key cascade discipline,Use cascades deliberately for lifecycle-owned data,Parent-child records with clear ownership,Accidental cascade can delete too much data,Prefer restrict for critical records and document cascade ownership,foreign key cascade restrict integrity,PostgreSQL Constraints
38,integrity,Optimistic unique create,Use unique constraints to handle concurrent create races,Slug username invite and membership creation,Requires mapping constraint errors to domain errors,Insert and catch unique violation instead of precheck only,unique race condition create slug,PostgreSQL Constraints
39,testing,Migration smoke test,Apply migrations against realistic schema in CI,Teams shipping frequent database changes,Needs seeded schema snapshots,Run migrate up and basic query smoke before deploy,migration test ci schema,Flyway
40,testing,Query plan regression check,Detect query plan or index regressions before production,Critical high-volume endpoints,Plans vary across data distributions,Store representative explain plans and watch row estimates,explain query plan regression,PostgreSQL EXPLAIN
