id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
1,logging,Structured logs with correlation IDs,Machine-readable logs tied to request or job execution,Every production backend and worker,Requires consistent logging fields and PII discipline,Include request_id user_id tenant_id operation duration status and error class,structured logs correlation id request id,OpenTelemetry
2,tracing,Distributed tracing,Trace requests across services databases queues and external calls,Microservices complex monoliths queues and slow request debugging,Instrumentation overhead and sampling decisions,Propagate trace context across HTTP and queue messages,tracing opentelemetry span latency,OpenTelemetry
3,metrics,RED metrics,Track rate errors and duration for services and endpoints,APIs workers and critical dependencies,Metrics cardinality can explode if labels are unbounded,Use route templates not raw URLs and define p50 p95 p99 latency,metrics rate errors duration p95 p99,Google SRE
4,slo,SLO with error budget,Define reliability target and alert on user-impacting burn rate,Production systems with uptime or latency commitments,Requires product agreement on reliability targets,Create SLI for availability latency correctness and alert on budget burn,slo sli error budget alert,SRE Workbook
5,audit,Audit log,Append-only record of security or business-critical actions,Admin actions account changes financial records regulated systems,Can expose sensitive data if not designed carefully,Store actor action target timestamp metadata and reason without secrets,audit log admin compliance security,OWASP ASVS
6,health,Health and readiness checks,Expose process liveness and dependency readiness,Containers load balancers orchestrators and deploy pipelines,Deep checks can cause cascading load,Keep liveness shallow and readiness dependency-aware,health readiness liveness kubernetes,Docker Healthcheck
7,errors,Error tracking,Group exceptions and regressions across releases,APIs workers and frontend-facing backend errors,Can collect sensitive data if not filtered,Sanitize payloads and tag release environment tenant and route,error tracking sentry exception release,Sentry
8,profiling,Continuous profiling,Find CPU memory and allocation hotspots in production,High-throughput services and performance investigations,Adds overhead and requires sampling control,Use low-overhead profiling and correlate with deploys,profiling cpu memory allocation performance,Pyroscope
9,business,Business metrics,Track domain outcomes beyond technical health,Payments subscriptions orders onboarding and conversion,Metric definitions need product ownership,Emit counters and gauges for critical domain events,business metrics payment order subscription,Lean Analytics
10,privacy,PII-safe logging,Prevent secrets and personal data from entering logs,Regulated apps auth payment healthcare and support systems,Requires schemas and redaction discipline,Redact tokens passwords emails where possible and denylist sensitive fields,pii logs redaction secrets privacy,OWASP Logging
11,queue,Queue observability,Monitor queue depth lag age retries and DLQ count,Any worker based system,Metrics need per queue ownership and alert thresholds,Alert on oldest message age not just queue depth,queue depth lag dlq worker metrics,SRE Workbook
12,deploy,Deployment markers,Correlate metrics traces and errors with releases,Any production system with frequent deploys,Needs CI integration,Send release version commit sha and deploy timestamp to observability tools,deploy marker release version commit observability,OpenTelemetry
13,logging,Correlation ID propagation,Pass request ID through HTTP queue and worker boundaries,Distributed systems and async workflows,Requires middleware and message headers,Generate at edge and propagate in every log and span,correlation id request id propagation,OpenTelemetry
14,logging,Log sampling,Reduce high-volume logs while preserving signal,High-throughput APIs and noisy success logs,Can drop useful forensic detail,Sample normal logs but keep errors and security events,log sampling high volume,Google SRE
15,logging,Structured domain events,Log domain events with stable names and fields,Auditing analytics and debugging business flows,Requires event taxonomy,Use consistent event_name actor target tenant and result fields,structured domain event logs,OWASP Logging
16,metrics,USE metrics,Track utilization saturation and errors for resources,Databases queues CPU memory and connection pools,Resource metrics need capacity context,Measure utilization saturation errors per shared resource,use metrics saturation resource,Brendan Gregg
17,metrics,Golden signals,Track latency traffic errors and saturation,User-facing services and APIs,Signals need service-specific labels,Create dashboard per service with p50 p95 p99 and error rate,golden signals latency traffic errors,Google SRE
18,metrics,Dependency metrics,Measure each downstream call separately,APIs with databases caches and external services,High cardinality if labels include raw URL,Label by dependency operation and status class,dependency metrics downstream latency,OpenTelemetry
19,tracing,Trace sampling policy,Control trace volume while keeping useful failures,High traffic services using distributed tracing,Too much sampling loses rare issues,Keep all errors and sample normal traffic by rate,trace sampling errors opentelemetry,OpenTelemetry
20,tracing,Async trace context,Propagate trace context through queue messages,Workers event consumers and delayed jobs,Requires message header support,Inject traceparent into message and continue span in worker,async trace context queue,OpenTelemetry
21,alerting,Burn rate alert,Alert on fast and slow SLO budget burn,Production services with defined SLOs,Requires reliable SLI and budget,Use multi-window burn rate alerts,burn rate alert slo,SRE Workbook
22,alerting,Symptom-based alerting,Alert on user impact rather than every cause,Production operations and on-call,Root cause may need dashboards,Alert on failed requests latency and data loss symptoms,symptom alert user impact,SRE Workbook
23,alerting,Runbook link in alert,Attach response steps to actionable alerts,On-call systems and recurring incidents,Runbooks can go stale,Include dashboard links owner and first mitigation steps,alert runbook oncall,Google SRE
24,audit,Data access audit,Record reads of sensitive records,Healthcare finance admin and privacy-sensitive systems,High volume and privacy concerns,Audit actor target reason and access path for sensitive reads,data access audit pii phi, HIPAA
25,quality,Synthetic transaction monitor,Continuously test critical user journeys from outside,Login checkout webhook and public APIs,Can create noise if test data breaks,Run synthetic checks with dedicated test accounts,synthetic monitor transaction api,Google SRE
