id,severity,name,bad_example,why_bad,good_example,keywords,references
1,CRITICAL,N+1 Query Problem,"for user in users: db.query('select * from orders where user_id=?', user.id)",Creates one query per row and degrades linearly with list size,"Load related rows with join, eager loading, DataLoader, or WHERE user_id IN (...)",n+1 query loop dataloader graph resolver,GraphQL DataLoader
2,CRITICAL,Plain-text or weak password storage,"password_hash = sha1(password)",Fast hashes are trivial to crack after database leak,"Use Argon2id or bcrypt with per-password salt and managed pepper",password md5 sha1 plain text hash,OWASP Password Storage
3,CRITICAL,Hardcoded secret,"const JWT_SECRET = 'prod-secret'",Secrets leak through git logs builds and client bundles,"Read secrets from environment injection or secret manager and rotate on exposure",jwt secret api key credential hardcoded,12 Factor App
4,HIGH,Business logic in controller,"route.post('/orders', async (req,res)=> { calculateDiscount(); chargeCard(); updateInventory(); })",Transport layer becomes hard to test reuse and secure,"Move business rules into service layer and keep controller as validation/mapping boundary",controller business logic handler service layer,Clean Architecture
5,HIGH,Unbounded SELECT star,"select * from events",Can load huge tables consume memory and leak columns,"Select explicit columns with limit cursor and index-aligned filters",select star no limit query table,PostgreSQL
6,HIGH,Internal error exposure,"return err.stack",Leaks file paths SQL details secrets and implementation clues,"Log internal error with correlation id and return sanitized error envelope",stack trace error exposure internal,OWASP ASVS
7,HIGH,Synchronous slow external work,"await sendEmail(); await generatePdf(); await resizeImage();",Makes requests slow fragile and hard to retry,"Persist intent and process through a background queue with retries and DLQ",sync email pdf image external api queue,Enterprise Integration Patterns
8,HIGH,Missing transaction for multi-write,"createOrder(); decrementStock(); chargeLedger();",Partial writes corrupt business state when one step fails,"Wrap related database writes in one transaction or use saga for distributed writes",transaction multi table partial write consistency,PostgreSQL Transactions
9,MEDIUM,Retry without idempotency,"retry POST /charge until success",Can duplicate payments orders or side effects,"Use idempotency keys and retry only safe transient failures with backoff",retry idempotency payment duplicate,Stripe Idempotency
10,MEDIUM,Cache without invalidation,"cache.set('user:1', user) forever",Serves stale mutable data and creates support issues,"Use TTL plus explicit invalidation or versioned keys on writes",cache invalidation stale ttl redis,Redis Patterns
11,CRITICAL,Cross-tenant data leak,"db.orders.findMany()",Missing tenant scope can expose one customer's data to another,"Require tenant scoped repository methods and database RLS for shared schemas",tenant leak multi tenant rls scope,OWASP ASVS
12,HIGH,Unverified webhook,"process(req.body) without signature check",Attackers can forge payment or integration events,"Verify HMAC signature timestamp replay window and dedupe event ID",webhook signature hmac replay payment,Stripe Webhook Security
13,HIGH,Unbounded retry storm,"while true retry externalApi.call()",Amplifies outages and consumes worker capacity,"Use capped exponential backoff jitter circuit breaker and DLQ",retry storm infinite retry backoff circuit,Google SRE
14,HIGH,Missing idempotency on payment,"create charge on every POST retry",Client retries can duplicate financial side effects,"Require idempotency key and store request hash result and status",payment idempotency duplicate charge,Stripe Idempotency
15,MEDIUM,Offset pagination on hot feed,"limit 20 offset 100000",Gets slower with deep pages and can skip records under writes,"Use cursor pagination with stable ordered key",offset pagination feed cursor large list,Relay Cursor Connections
16,HIGH,Logging secrets,"logger.info(req.headers.authorization)",Leaks bearer tokens and credentials into log systems,"Redact authorization cookies passwords and API keys before logging",logging secret token authorization pii,OWASP Logging
17,MEDIUM,No readiness check,"container starts accepting traffic before db migration",Routes traffic to instances that cannot serve requests,"Expose readiness that checks critical dependencies and migration state",readiness health startup deploy kubernetes,Kubernetes
18,HIGH,Distributed transaction by hope,"write db then call remote service then write another db",Partial failure creates inconsistent state across systems,"Use saga outbox idempotency and reconciliation",distributed transaction saga outbox consistency,Microservices Patterns
19,MEDIUM,Leaky ORM entities,"return UserEntity directly from API",Exposes internal columns and couples API to persistence schema,"Map entities to explicit response DTOs",orm entity dto response leak,OWASP ASVS
20,MEDIUM,No query timeout,"db.query(reportSql) with default timeout",Slow queries can exhaust pools and cascade latency,"Set statement timeout and move expensive reports to async jobs",query timeout database pool report,PostgreSQL
21,CRITICAL,IDOR missing ownership check,"GET /users/123/invoices returns data without actor ownership check",Attackers can access other users resources by changing IDs,"Check object ownership or tenant policy before returning data",idor ownership check authorization,OWASP API1
22,CRITICAL,SQL string concatenation,"db.query('select * from users where email=' + email)",Allows attacker-controlled SQL execution,"Use parameterized queries or safe query builders",sql injection string concat parameter,OWASP SQL Injection
23,HIGH,Mass assignment role update,"User.update(req.body)",Client can set role isAdmin or server-controlled fields,"Map only explicitly allowed DTO fields",mass assignment dto role,OWASP API Security
24,HIGH,Wildcard CORS with credentials,"Access-Control-Allow-Origin: * and credentials true",Allows unintended browser origins to read authenticated responses,"Use explicit origin allowlist and avoid wildcard credentials",cors wildcard credentials,MDN CORS
25,HIGH,No CSRF protection on cookie auth,"POST /transfer relies only on session cookie",Cross-site requests can trigger authenticated writes,"Use SameSite plus CSRF tokens for unsafe methods",csrf cookie session write,OWASP CSRF
26,HIGH,SSRF through URL fetch,"fetch(req.body.url) from backend",Attacker can reach internal metadata or private services,"Validate URL resolve IP and block private networks",ssrf url fetch internal metadata,OWASP SSRF
27,HIGH,File upload trust,"store uploaded file and serve it directly",Malicious files can execute or expose users,"Validate type scan content and serve from isolated storage",file upload malware mime,OWASP File Upload
28,HIGH,JWT none or weak algorithm,"accept token alg from header without allowlist",Attackers can bypass signature verification,"Allowlist expected algorithm and key only",jwt alg none verification,RFC 8725
29,HIGH,Refresh token reuse ignored,"issue new access token even after old refresh token reused",Stolen refresh tokens remain useful,"Rotate refresh tokens and revoke token family on reuse",refresh token reuse rotation,OAuth Security BCP
30,MEDIUM,No password rehash path,"keep bcrypt cost from 2016 forever",Password security does not improve with hardware changes,"Rehash on login when algorithm parameters are outdated",password rehash bcrypt argon2,OWASP Password Storage
31,HIGH,External call inside DB transaction,"begin transaction then call payment API before commit",Long locks and partial failures harm consistency,"Commit local intent then use outbox or saga for external call",external call transaction saga,Microservices Patterns
32,MEDIUM,Long-running report in request,"GET /report computes millions of rows synchronously",Requests time out and compete with normal traffic,"Move report to async job with progress and download",report async job timeout,Google SRE
33,MEDIUM,Unbounded worker concurrency,"start worker with concurrency 1000",Can overload database or downstream services,"Set concurrency based on dependency capacity and queue age",worker concurrency database overload,SRE Workbook
34,HIGH,No DLQ ownership,"failed jobs go to DLQ nobody monitors",Failures become silent data loss,"Alert on DLQ and assign replay ownership",dlq monitoring replay worker,Enterprise Integration Patterns
35,MEDIUM,Cache authorization decision forever,"cache allow admin forever",Permission changes do not take effect,"Use short TTL and invalidate on role or policy changes",authorization cache ttl rbac,OWASP ASVS
36,HIGH,PII in analytics event,"track('signup', { email, phone, ssn })",Sensitive data spreads to analytics systems,"Send minimal identifiers and classify event fields",pii analytics privacy,GDPR
37,HIGH,PII in URL query string,"GET /reset?token=secret",URLs leak through logs browser history and referrers,"Send secrets in body or one-time opaque flow",pii url token logging,OWASP ASVS
38,MEDIUM,No audit for admin action,"admin changes user role without audit record",Investigations cannot reconstruct sensitive changes,"Write audit event with actor target action and reason",admin audit role change,OWASP ASVS
39,HIGH,Shared admin account,"team uses one admin login",No accountability and weak offboarding,"Use individual accounts with MFA and role-based access",shared credential admin mfa,SOC2
40,HIGH,No tenant test coverage,"repository methods are untested for tenant scoping",Cross-tenant bugs can ship unnoticed,"Add tests proving tenant A cannot access tenant B data",tenant test coverage isolation,OWASP ASVS
41,MEDIUM,Leaky feature flag,"if beta then skip auth check",Flags accidentally bypass security or validation,"Keep auth outside flag branches and test both states",feature flag auth bypass,LaunchDarkly
42,MEDIUM,In-memory session only,"sessions stored in process memory on multi-instance app",Users are logged out or routed inconsistently across instances,"Use shared session store or stateless token with revocation strategy",session memory multi instance redis,OWASP Session
43,HIGH,Serverless connection storm,"new database pool per invocation without proxy",Database connection limits are exhausted under burst,"Use connection proxy and reuse clients where runtime allows",serverless db connection pool proxy,PgBouncer
44,MEDIUM,No schema migration rollback plan,"deploy migration with no tested recovery",Failed migration can prolong outage,"Use backward-compatible migrations and tested restore or rollback plan",migration rollback deploy,Strong Migrations
45,HIGH,Unsafe deserialization,"deserialize user supplied object into runtime type",Can trigger remote code execution or object injection,"Use safe formats and explicit schemas",deserialization rce object injection,OWASP Deserialization
46,MEDIUM,Overbroad service token,"integration token has full admin access",Compromise gives attacker excessive permissions,"Issue scoped tokens per integration and rotate them",service token scope least privilege,OAuth
47,HIGH,No rate limit on login,"POST /login unlimited attempts",Enables brute force and credential stuffing,"Rate limit by account IP and device with abuse monitoring",login brute force rate limit,OWASP Authentication
48,MEDIUM,Silent degraded mode,"fallback used for days with no alert",Users get stale or reduced results without operator awareness,"Emit metric and alert when fallback is active",fallback alert degraded mode,SRE Workbook
49,MEDIUM,No clock tolerance for webhook,"reject all webhooks if server clock drifts",Valid events fail during clock skew,"Use NTP and a bounded timestamp tolerance",webhook timestamp clock skew,Stripe Webhooks
50,HIGH,Raw exception in queue consumer,"consumer crashes and drops message after exception",Messages can be lost or retried without context,"Catch classify retry or DLQ with structured error context",queue exception dlq retry,Enterprise Integration Patterns
