id,category,name,description,when_to_use,trade_offs,implementation_notes,keywords,references
1,queue,Background job queue,Move slow retryable work outside request path,Email PDF media import export notifications and third-party sync,Needs worker monitoring retries and DLQ,Return accepted response or domain state and process with idempotent worker,queue worker background job email pdf image,BullMQ; Sidekiq
2,event,Transactional outbox,Persist domain event in same transaction as state change and publish later,Reliable event publication from relational databases,Adds outbox table publisher and cleanup process,Write outbox row in transaction poll publish mark sent idempotently,outbox event transaction reliable publish,Microservices Patterns
3,stream,Kafka event stream,Durable ordered event log for high-throughput streams,Audit logs analytics event sourcing cross-service data pipelines,Operational overhead and consumer lag management,Partition by key manage schema compatibility and monitor lag,kafka stream event log throughput,Apache Kafka
4,queue,RabbitMQ work queue,Message broker for task distribution and routing,Background jobs notifications workflows and moderate event routing,Requires ack retry and DLQ discipline,Use durable queues manual ack prefetch and dead-letter exchange,rabbitmq queue worker dlq routing,RabbitMQ Docs
5,idempotency,Idempotency key store,Deduplicate repeated externally-triggered writes,Payments webhooks retries imports and unreliable clients,Requires retention policy and response replay handling,Store key request hash status and response for a bounded TTL,idempotency key payment webhook retry,Stripe Idempotency
6,webhook,Webhook inbox,Persist incoming webhook before processing,Payment billing CRM and external integration callbacks,Adds storage and replay process,Verify signature store raw event dedupe then process asynchronously,webhook inbox external event signature,Integration Patterns
7,dlq,Dead letter queue,Separate messages that exceeded retries for inspection or replay,Any queue with retryable failures,DLQ can become ignored backlog without ownership,Attach alerting ownership and replay tooling,dead letter queue retry failure worker,Enterprise Integration Patterns
8,schedule,Durable scheduled jobs,Run recurring work through persistent scheduler state,Billing renewals reminders cleanup and reports,Clock and duplicate execution need handling,Store schedule state and use idempotent execution locks,scheduled job cron durable billing reminder,Temporal
9,workflow,Durable workflow engine,Coordinate long-running stateful processes,Onboarding fulfillment approvals and multi-step integrations,Adds platform dependency and modeling overhead,Use when process spans minutes to days and needs retries or signals,workflow temporal durable long running,Temporal
10,batch,Chunked batch processing,Process large imports exports or backfills in bounded chunks,CSV imports migrations reports and reindexing,Requires progress tracking and resume logic,Use checkpoints batch size limits and idempotent item processing,batch chunk import export backfill,Data Intensive Applications
11,ordering,Partitioned message ordering,Maintain order for events sharing the same key,Ledger events chat messages inventory item streams,Hot keys can limit throughput,Partition by aggregate id and design consumers for per-key ordering,partition ordering kafka aggregate event,Apache Kafka
12,fanout,Notification fan-out queue,Split notification delivery by channel and recipient,Email push SMS in-app notification systems,Can amplify work and duplicate sends,Create delivery records and dedupe by notification recipient channel,notification fanout email push sms queue,Enterprise Integration Patterns
13,consumer,Idempotent consumer,Allow safe repeated message delivery,At-least-once queues Kafka RabbitMQ SQS and webhooks,Requires dedupe storage or natural idempotency,Track processed message IDs or make updates conditional,idempotent consumer at least once duplicate message,Microservices Patterns
14,priority,Priority queues,Process urgent jobs before low-priority work,User-facing notifications payments and mixed background work,Can starve low-priority tasks,Use separate queues workers and aging policy,priority queue urgent background job,BullMQ
15,pattern,Request reply over queue,Use queue for async processing with correlated response,Long-running tasks needing eventual response,Client complexity and timeout handling increase,Return job id and expose status or callback,request reply queue job status,Enterprise Integration Patterns
16,pattern,Claim check pattern,Send pointer to payload instead of large message,Large files reports and event payloads,Requires durable object storage and permissions,Store payload in object storage and message only reference,claim check message payload object storage,Enterprise Integration Patterns
17,pattern,Inbox outbox pair,Combine incoming dedupe with outgoing reliable publish,Integration services bridging external systems,More tables and cleanup required,Use inbox for received events and outbox for emitted events,inbox outbox integration event,Microservices Patterns
